FNDDS code,FNDDS description,Species,FL Score,Weighted_Risk_Total,Weighted_Risk_Total_NOFEED,Notes
28355350,"Salmon soup, cream style",Salmon,"Freshwater, average (excluding tilapia)",751,737,"The classification technically depends on the location of the seafood, however we decided to stay consistent with FAO and use their mapping when available"
26137121,"Salmon, baked or broiled, made with butter",Salmon,"Freshwater, average (excluding tilapia)",751,737,"The classification technically depends on the location of the seafood, however we decided to stay consistent with FAO and use their mapping when available"
26137124,"Salmon, baked or broiled, made with cooking spray",Salmon,"Freshwater, average (excluding tilapia)",751,737,"The classification technically depends on the location of the seafood, however we decided to stay consistent with FAO and use their mapping when available"
26137122,"Salmon, baked or broiled, made with margarine",Salmon,"Freshwater, average (excluding tilapia)",751,737,"The classification technically depends on the location of the seafood, however we decided to stay consistent with FAO and use their mapping when available"
26137120,"Salmon, baked or broiled, made with oil",Salmon,"Freshwater, average (excluding tilapia)",751,737,"The classification technically depends on the location of the seafood, however we decided to stay consistent with FAO and use their mapping when available"
26137123,"Salmon, baked or broiled, made without fat",Salmon,"Freshwater, average (excluding tilapia)",751,737,"The classification technically depends on the location of the seafood, however we decided to stay consistent with FAO and use their mapping when available"
26137123,"Salmon, baked or broiled, no added fat",Salmon,"Freshwater, average (excluding tilapia)",751,737,"The classification technically depends on the location of the seafood, however we decided to stay consistent with FAO and use their mapping when available"
26137131,"Salmon, coated, baked or broiled, made with butter",Salmon,"Freshwater, average (excluding tilapia)",751,737,"The classification technically depends on the location of the seafood, however we decided to stay consistent with FAO and use their mapping when available"
26137134,"Salmon, coated, baked or broiled, made with cooking spray",Salmon,"Freshwater, average (excluding tilapia)",751,737,"The classification technically depends on the location of the seafood, however we decided to stay consistent with FAO and use their mapping when available"
26137130,"Salmon, coated, baked or broiled, made with oil",Salmon,"Freshwater, average (excluding tilapia)",751,737,"The classification technically depends on the location of the seafood, however we decided to stay consistent with FAO and use their mapping when available"
26137133,"Salmon, coated, baked or broiled, made without fat",Salmon,"Freshwater, average (excluding tilapia)",751,737,"The classification technically depends on the location of the seafood, however we decided to stay consistent with FAO and use their mapping when available"
26137133,"Salmon, coated, baked or broiled, no added fat",Salmon,"Freshwater, average (excluding tilapia)",751,737,"The classification technically depends on the location of the seafood, however we decided to stay consistent with FAO and use their mapping when available"
26137141,"Salmon, coated, fried, made with butter",Salmon,"Freshwater, average (excluding tilapia)",751,737,"The classification technically depends on the location of the seafood, however we decided to stay consistent with FAO and use their mapping when available"
26137142,"Salmon, coated, fried, made with margarine",Salmon,"Freshwater, average (excluding tilapia)",751,737,"The classification technically depends on the location of the seafood, however we decided to stay consistent with FAO and use their mapping when available"
26137140,"Salmon, coated, fried, made with oil",Salmon,"Freshwater, average (excluding tilapia)",751,737,"The classification technically depends on the location of the seafood, however we decided to stay consistent with FAO and use their mapping when available"
26137143,"Salmon, coated, fried, made without fat",Salmon,"Freshwater, average (excluding tilapia)",751,737,"The classification technically depends on the location of the seafood, however we decided to stay consistent with FAO and use their mapping when available"
26137110,"Salmon, cooked, NS as to cooking method",Salmon,"Freshwater, average (excluding tilapia)",751,737,"The classification technically depends on the location of the seafood, however we decided to stay consistent with FAO and use their mapping when available"
26137100,"Salmon, raw",Salmon,"Freshwater, average (excluding tilapia)",751,737,"The classification technically depends on the location of the seafood, however we decided to stay consistent with FAO and use their mapping when available"
26137160,"Salmon, steamed or poached",Salmon,"Freshwater, average (excluding tilapia)",751,737,"The classification technically depends on the location of the seafood, however we decided to stay consistent with FAO and use their mapping when available"
27250070,Salmon cake or patty,Salmon,"Freshwater, canned (excluding tilapia)",578,567,"The classification technically depends on the location of the seafood, however we decided to stay consistent with FAO and use their mapping when available"
27550120,Salmon cake sandwich,Salmon,"Freshwater, canned (excluding tilapia)",578,567,"The classification technically depends on the location of the seafood, however we decided to stay consistent with FAO and use their mapping when available"
27250080,Salmon loaf,Salmon,"Freshwater, canned (excluding tilapia)",578,567,"The classification technically depends on the location of the seafood, however we decided to stay consistent with FAO and use their mapping when available"
26137180,"Salmon, canned",Salmon,"Freshwater, canned (excluding tilapia)",578,567,"The classification technically depends on the location of the seafood, however we decided to stay consistent with FAO and use their mapping when available"
26137190,"Salmon, smoked",Salmon,"Freshwater, cured (excluding tilapia)",1080,1072,"The classification technically depends on the location of the seafood, however we decided to stay consistent with FAO and use their mapping when available"
26139110,"Sardines, cooked",Sardines,"Pelagic, average (excluding tuna)",996,996,
27550510,Sardine sandwich,Sardines,"Pelagic, canned (excluding tuna)",1567,1567,
26139180,"Sardines, canned in oil",Sardines,"Pelagic, canned (excluding tuna)",1567,1567,
26139190,"Sardines, skinless, boneless, packed in water",Sardines,"Pelagic, canned (excluding tuna)",1567,1567,
26317120,"Scallops, baked or broiled, fat added",Scallops,"Molluscs, average",2043,2012,
26317120,"Scallops, baked or broiled, fat added in cooking",Scallops,"Molluscs, average",2043,2012,
26317121,"Scallops, baked or broiled, fat not added in cooking",Scallops,"Molluscs, average",2043,2012,
26317140,"Scallops, coated, fried",Scallops,"Molluscs, average",2043,2012,
26317110,"Scallops, cooked, NS as to cooking method",Scallops,"Molluscs, average",2043,2012,
27151030,Ceviche,Sea bass,"Demersal, average",1306,1306,"We selected sea bass to represent ceviche, even though it can be made with many other types of seafood"
26141120,"Sea bass, baked or broiled, fat added",Sea bass,"Demersal, average",1306,1306,
26141120,"Sea bass, baked or broiled, fat added in cooking",Sea bass,"Demersal, average",1306,1306,
